id,employee_id,position_id,amount,is_active,start_date,end_date
1,30,8,138366,True,2023-06-14,
2,80,4,56429,True,2021-04-14,2023-02-12
3,76,11,86393,True,2020-08-30,2024-07-03
4,89,2,93299,False,2020-05-28,2023-10-10
5,142,9,105574,True,2021-07-01,2023-03-28
6,41,12,144986,False,2023-02-24,2024-11-07
7,146,12,135493,True,2022-07-09,2023-07-07
8,68,3,148011,True,2023-05-02,2023-01-28
9,114,11,62829,True,2022-02-07,2023-09-04
10,23,6,72135,True,2020-05-06,2024-02-26
11,144,9,147364,True,2023-04-30,2024-05-21
12,125,14,121091,True,2020-09-26,2024-05-09
13,91,3,67944,True,2022-10-02,2023-01-29
14,72,6,56361,True,2023-04-29,
15,101,11,105115,True,2020-11-22,2024-02-07
16,29,5,69285,True,2020-12-22,2023-04-16
17,17,12,107199,True,2021-01-08,
18,27,9,53688,True,2022-12-23,
19,98,6,124625,True,2021-07-12,2023-08-19
20,135,13,128326,False,2022-11-14,2024-09-11
21,43,2,59227,False,2023-04-23,2024-03-15
22,55,13,102833,True,2022-12-29,
23,106,1,74751,True,2021-11-09,2023-12-31
24,99,14,134468,True,2020-04-04,2023-11-13
25,4,12,77326,True,2022-04-06,2024-06-23
26,128,15,71419,False,2021-01-29,2023-10-03
27,136,3,149275,True,2020-09-28,2024-01-30
28,94,4,84665,True,2020-01-12,2023-12-25
29,50,11,103979,True,2023-11-02,
30,11,15,125370,False,2023-12-24,2023-06-30
31,32,9,102352,True,2020-10-13,2024-06-03
32,80,8,114416,True,2023-07-31,2024-09-02
33,111,1,76097,False,2023-01-18,2023-11-03
34,81,10,80567,True,2022-05-01,2023-04-26
35,132,14,68090,True,2023-09-28,2024-01-24
36,23,8,113804,True,2020-08-13,2024-03-14
37,20,8,115634,True,2023-05-16,2023-11-07
38,19,14,136881,True,2020-08-21,
39,41,5,79661,True,2020-02-04,2023-10-30
40,27,14,92734,True,2022-08-19,2023-04-13
41,1,9,57441,True,2022-07-28,
42,42,2,89216,True,2021-05-18,2024-06-29
43,118,11,129031,True,2021-11-29,2024-08-05
44,130,2,130035,True,2021-08-30,
45,19,3,76996,True,2020-05-13,2023-04-06
46,35,7,117550,True,2023-09-03,
47,89,3,72816,False,2023-10-23,2023-06-22
48,114,9,64042,True,2022-12-06,2023-04-16
49,39,9,83922,True,2020-06-26,2024-11-10
50,64,13,60190,True,2023-09-11,2023-02-21
51,46,4,122503,True,2023-06-30,2024-03-14
52,42,9,107540,True,2020-07-19,2024-05-04
53,122,10,97934,True,2023-04-07,2023-07-22
54,128,3,133356,True,2023-08-23,2024-11-20
55,110,12,92639,True,2020-03-09,
56,8,5,86137,True,2020-09-28,2023-07-22
57,67,8,63706,True,2021-07-09,2023-03-08
58,9,12,118913,True,2022-04-01,2024-06-28
59,14,13,100330,True,2022-05-19,
60,37,1,83848,True,2023-04-12,2024-02-15
61,24,3,93604,True,2021-08-17,2024-06-21
62,86,12,71134,True,2022-09-16,2024-09-17
63,138,14,56447,True,2021-01-27,2024-07-07
64,53,6,92096,True,2020-10-11,
65,76,12,92699,True,2023-12-31,2023-10-01
66,124,3,147397,True,2020-05-14,2024-11-15
67,82,12,57275,True,2023-11-25,2023-03-25
68,4,13,79877,True,2022-03-21,2023-11-10
69,83,5,111628,True,2020-04-19,2023-04-26
70,117,10,79048,False,2023-07-26,
71,17,1,67334,True,2020-07-13,2023-06-22
72,24,13,129350,True,2022-06-11,2023-05-17
73,108,7,65689,True,2022-01-10,
74,80,6,51262,True,2020-05-04,2023-11-06
75,95,6,136274,True,2022-07-31,2024-12-11
76,146,11,68409,True,2022-11-24,2023-08-04
77,86,8,80371,True,2021-03-21,2024-03-20
78,89,12,89995,True,2021-10-19,
79,13,2,120915,True,2021-09-29,2023-09-18
80,135,15,113512,True,2021-12-24,2023-12-01
81,69,6,107433,True,2023-10-10,2024-04-13
82,14,5,113565,True,2020-09-14,2024-10-24
83,134,6,139704,True,2020-08-16,2024-06-13
84,115,1,68233,True,2022-06-29,2024-06-20
85,101,8,102592,True,2021-03-09,2023-07-13
86,104,6,51525,True,2023-04-06,2023-09-26
87,49,4,91974,True,2022-06-29,2024-04-14
88,3,12,110580,True,2020-06-27,2024-01-01
89,9,15,104932,True,2023-04-21,2023-09-30
90,42,1,93884,True,2020-04-14,2023-07-02
91,117,14,144262,False,2023-04-07,
92,15,9,135310,True,2021-02-09,2024-01-27
93,107,1,137277,True,2021-01-20,2023-02-22
94,40,13,74406,True,2022-09-03,2024-12-05
95,59,5,77995,True,2020-04-19,2023-10-27
96,5,12,55216,False,2020-02-20,2023-03-07
97,139,2,60977,False,2023-11-23,2024-04-07
98,77,6,77460,True,2022-08-25,2023-06-29
99,41,4,52314,True,2022-10-29,2023-12-11
100,109,13,90382,True,2020-10-27,2024-12-27
101,111,13,103698,True,2020-05-03,2023-12-23
102,50,9,75378,False,2020-07-01,2024-10-14
103,55,9,89074,True,2023-01-12,2023-10-09
104,121,12,137585,True,2020-05-14,2024-09-21
105,97,15,117410,True,2020-01-07,2023-03-25
106,66,15,130053,True,2020-04-03,2023-11-11
107,107,15,114298,True,2021-05-20,2024-11-09
108,101,3,123222,True,2021-02-02,2024-10-29
109,105,10,61310,True,2021-12-24,2024-04-11
110,136,15,147634,True,2022-03-25,
111,80,10,86648,True,2023-12-16,2024-03-04
112,25,13,134114,True,2021-04-28,2024-08-27
113,138,14,118513,True,2021-08-26,2024-08-22
114,142,13,101186,True,2023-11-24,2024-04-09
115,14,4,72309,True,2023-08-16,
116,48,4,101189,True,2022-06-21,2023-10-20
117,25,13,64478,True,2023-03-01,2024-10-21
118,45,1,108325,True,2022-07-27,2024-06-25
119,130,7,84523,True,2023-01-15,2024-07-26
120,48,5,111397,True,2022-11-05,
121,90,9,82056,True,2023-12-20,2024-03-17
122,127,11,102446,True,2021-08-29,2024-08-22
123,132,5,56509,True,2020-03-30,
124,114,8,86853,True,2022-09-11,
125,78,13,147998,True,2022-09-30,2023-12-28
126,119,3,67773,False,2023-01-28,2024-12-02
127,41,2,148676,True,2022-06-08,2023-09-13
128,70,11,53094,True,2020-09-21,
129,44,13,77536,True,2021-05-28,2024-01-19
130,142,2,117172,False,2023-11-24,2024-01-15
131,77,11,60845,True,2021-12-01,2023-04-20
132,142,1,111761,False,2021-05-22,
133,83,3,91469,True,2023-09-20,
134,65,4,82550,True,2021-05-16,2023-08-04
135,146,9,64844,False,2023-04-28,
136,112,12,78793,False,2021-01-29,2024-04-28
137,50,3,100041,False,2022-03-04,2023-09-08
138,3,2,147893,True,2022-01-07,2023-09-21
139,148,14,125624,False,2020-04-04,2023-11-20
140,74,10,143658,True,2020-06-13,2023-07-19
141,14,7,87426,True,2021-12-02,2023-12-24
142,34,5,82048,False,2020-11-18,2024-05-25
143,85,7,76027,True,2020-04-03,2023-12-29
144,138,3,103450,True,2021-01-27,2023-08-01
145,12,13,108862,True,2021-08-02,2023-03-04
146,75,3,145935,True,2021-07-24,2023-06-06
147,59,5,112455,False,2023-03-19,2024-05-10
148,45,13,98391,True,2023-09-15,2024-06-03
149,137,6,128782,True,2020-11-26,2023-12-23
150,31,1,80549,False,2022-08-22,2023-01-04
